host_country,game_year,medals_won,percentage_of_total
belgium,1920,36,8.22
france,1924,38,10.05
netherlands,1928,19,5.86
usa,1932,103,29.77
germany,1936,84,22.70
"great britain",1948,23,5.60
finland,1952,20,4.47
australia,1956,35,7.78
italy,1960,36,7.81
japan,1964,29,5.75
mexico,1968,9,1.71
"federal republic of germany",1972,40,6.68
canada,1976,11,1.79
usa,1984,174,25.29
"south korea",1988,33,4.48
spain,1992,22,2.72
usa,1996,101,12.00
australia,2000,58,6.26
greece,2004,16,1.73
china,2008,100,10.45
"great britain",2012,65,6.79
brazil,2016,19,1.95
japan,2020,58,5.38
france,2024,60,5.95
